#afm_flds.table_name,field_name,ml_heading,afm_type,allow_null,comments,data_type,decimals,dep_cols,dflt_val,edit_group,edit_mask,enum_list,is_atxt,max_val,min_val,afm_module,num_format,primary_key,ref_table,review_group,afm_size,sl_heading,string_format,is_tc_traceable,field_grouping,attributes,validate_data
#331 records written,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrdayrmocc,time_end,"Time
End","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrdayrmocc,time_start,"Time
Start","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrdayrmocc,total_hours,Total hours,"2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,0,0,,,10,,25,0,,,1
rrdayrmres,bl_id,"Building
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrdayrmres,comments,Comments,"2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,2000,,40,0,,,1
rrdayrmres,config_id,"Configuration
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmres,ctry_id,"Country
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmres,date_start,"Date
Start","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
rrdayrmres,dp_id,"Department
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmres,dv_id,"Division
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmres,fl_id,"Floor
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
rrdayrmres,monthtxt,Month,"2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,20,,5,0,,,1
rrdayrmres,name,"Building
Name","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,25,,5,0,,,1
rrdayrmres,phone,"Requestor's
Phone #","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,24,,10,0,,,1
rrdayrmres,res_id,"Reservation
Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,2,1,,,10,,25,0,,,1
rrdayrmres,reservation_name,"Reservation
Name","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,64,,5,0,,,1
rrdayrmres,rm_arrange_type_id,"Room
Arrangement Type","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,5,0,,,1
rrdayrmres,rm_id,"Room
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrdayrmres,site_id,"Site
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmres,status,"Status of
Reservation","2,070",1,Reservations-v16.3,1,0,,,,,Awaiting App.;Awaiting Approval;Rejected;Rejected;Cancelled;Cancelled;Confirmed;Confirmed;Closed;Closed,0,,,20,0,0,,,16,,5,0,,,1
rrdayrmres,time_end,"Time
End","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrdayrmres,time_start,"Time
Start","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrdayrmres,total_guest,Total Guests,"2,070",1,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,5,0,,,1
rrdayrmres,tr_id,"Trade
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmres,user_requested_for,"Requested
For","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
rrdayrmres,vn_id,"Vendor
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmresplus,bl_id,"Building
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrdayrmresplus,comments,Comments,"2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,2000,,40,0,,,1
rrdayrmresplus,ctry_id,"Country
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmresplus,date_start,"Date
Start","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
rrdayrmresplus,dp_id,"Department
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmresplus,dv_id,"Division
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmresplus,fl_id,"Floor
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
rrdayrmresplus,phone,"Requestor's
Phone #","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,24,,10,0,,,1
rrdayrmresplus,quantity,"Requested
Quantity","2,070",1,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
rrdayrmresplus,res_id,"Reservation
Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,2,1,,,10,,25,0,,,1
rrdayrmresplus,resource_id,"Resource
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,32,,10,0,,,1
rrdayrmresplus,rm_arrange_type_id,"Room
Arrangement Type","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmresplus,rm_id,"Room
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrdayrmresplus,time_end,"Time
End","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrdayrmresplus,time_start,"Time
Start","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrdayrmresplus,total_guest,Total Guests,"2,070",1,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
rrdayrmresplus,user_requested_for,"Requested
For","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
rrdayrresplus,bl_id,"Building
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrdayrresplus,comments,Comments,"2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,2000,,40,0,,,1
rrdayrresplus,ctry_id,"Country
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrresplus,date_start,"Date
Start","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
rrdayrresplus,dp_id,"Department
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrresplus,dv_id,"Division
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrresplus,fl_id,"Floor
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
rrdayrresplus,name,"Building
Name","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,25,,5,0,,,1
rrdayrresplus,phone,"Requestor's
Phone #","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,24,,10,0,,,1
rrdayrresplus,quantity,"Requested
Quantity","2,070",1,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
